id,date,commodity,unit,min,max,avg
295,2026-01-03,मेथीको साग,के.जी.,60.0,80.0,73.33
296,2026-01-03,मेवा(नेपाली),के.जी.,60.0,70.0,65.0
297,2026-01-03,मेवा(भारतीय),केजी,90.0,100.0,95.0
298,2026-01-03,मौसम,के.जी.,80.0,110.0,95.0
299,2026-01-03,राजा च्याउ,के.जी.,280.0,300.0,290.0
300,2026-01-03,रातो बन्दा,के.जी.,140.0,150.0,145.0
301,2026-01-03,रायो साग,के.जी.,20.0,40.0,25.0
302,2026-01-03,रुख टमाटर,केजी,200.0,250.0,225.0
303,2026-01-03,लप्सी,के.जी.,65.0,75.0,70.0
304,2026-01-03,लसुन सुकेको चाइनिज,के.जी.,400.0,440.0,420.0
305,2026-01-03,लसुन सुकेको नेपाली,के.जी.,220.0,280.0,250.0
306,2026-01-03,लसुन हरियो,के.जी.,50.0,100.0,77.5
307,2026-01-03,लौका,के.जी.,60.0,70.0,65.0
308,2026-01-03,शरीफा,के‍.जी,180.0,200.0,190.0
309,2026-01-03,सखरखण्ड,के.जी.,60.0,80.0,70.0
310,2026-01-03,सलगम,के.जी.,80.0,90.0,85.0
311,2026-01-03,सिताके च्याउ,के.जी.,800.0,1000.0,900.0
312,2026-01-03,सुन्तला(नेपाली),के.जी.,80.0,110.0,95.0
313,2026-01-03,सेतो मूला(हाइब्रीड),केजी,20.0,30.0,26.25
314,2026-01-03,सेलरी,के.जी.,250.0,300.0,275.0
315,2026-01-03,सौफको साग,के.जी.,60.0,80.0,70.0
316,2026-01-03,स्कूस,के.जी.,25.0,30.0,27.5
317,2026-01-03,स्ट्रबेरी भुईऐसेलु,के.जी.,450.0,500.0,475.0
318,2026-01-03,स्थानीय काउली(ज्यापु),केजी,70.0,80.0,75.0
319,2026-01-03,स्याउ(झोले),के.जी.,200.0,250.0,225.0
320,2026-01-03,स्याउ(फूजी),के जी,300.0,350.0,325.0
321,2026-01-03,हरियो धनिया,के.जी.,80.0,110.0,95.0
322,2026-01-03,हरियो फर्सी(डल्लो),केजी,35.0,40.0,37.5
323,2026-01-04,अंगुर(हरियो),के.जी.,200.0,220.0,210.0
324,2026-01-04,अदुवा,के.जी.,60.0,80.0,70.0
325,2026-01-04,अनार,के.जी.,300.0,350.0,325.0
326,2026-01-04,अमला,के.जी,70.0,80.0,75.0
327,2026-01-04,आभोकाडो,के.जी,250.0,350.0,300.0
328,2026-01-04,आलु रातो(भारतीय),के जी,25.0,27.0,26.0
329,2026-01-04,आलु रातो(लाम्चो),के.जी.,27.0,32.0,30.0
330,2026-01-04,इमली,के.जी.,170.0,180.0,175.0
331,2026-01-04,काउली तराई,के.जी.,40.0,50.0,45.0
332,2026-01-04,काउली स्थानिय,के.जी.,60.0,70.0,63.75
333,2026-01-04,काक्रो(लोकल),के.जी.,100.0,120.0,113.33
334,2026-01-04,काक्रो(हाइब्रीड),के जी,40.0,50.0,45.0
335,2026-01-04,कागती,के.जी.,80.0,90.0,85.0
336,2026-01-04,किवि,केजी,300.0,400.0,350.0
337,2026-01-04,कुरीलो,के.जी.,2200.0,2400.0,2300.0
338,2026-01-04,केरा(नेपाली),दर्जन,150.0,200.0,175.0
339,2026-01-04,खुर्सानी हरियो(अकबरे),के जी,350.0,400.0,375.0
340,2026-01-04,खुर्सानी हरियो(बुलेट),के जी,100.0,120.0,110.0
341,2026-01-04,खुर्सानी हरियो(माछे),के जी,110.0,120.0,115.0
342,2026-01-04,खुर्सानी हरियो(लाम्चो),के जी,80.0,100.0,87.5
343,2026-01-04,खु्र्सानी सुकेको,के.जी.,350.0,450.0,400.0
344,2026-01-04,गाजर(तराई),केजी,50.0,65.0,57.5
345,2026-01-04,गाजर(लोकल),के.जी.,60.0,75.0,67.5
346,2026-01-04,गान्टे मूला,के.जी.,70.0,80.0,75.0
347,2026-01-04,गुन्दुक,के.जी.,350.0,400.0,375.0
348,2026-01-04,गोलभेडा ठूलो(नेपाली),के.जी.,100.0,110.0,105.0
349,2026-01-04,गोलभेडा ठूलो(भारतीय),केजी,110.0,120.0,115.0
350,2026-01-04,गोलभेडा सानो(टनेल),के जी,85.0,105.0,95.0
351,2026-01-04,गोलभेडा सानो(तराई),के जी,95.0,104.0,98.5
352,2026-01-04,गोलभेडा सानो(भारतीय),के जी,90.0,100.0,95.0
353,2026-01-04,गोलभेडा सानो(लोकल),के.जी.,73.0,90.0,82.2
354,2026-01-04,ग्याठ कोबी,के.जी.,70.0,85.0,77.5
355,2026-01-04,घिउ सिमी(राजमा),केजी,120.0,130.0,125.0
356,2026-01-04,घिउ सिमी(लोकल),के.जी.,100.0,120.0,107.5
357,2026-01-04,घिउ सिमी(हाइब्रीड),केजी,90.0,100.0,95.0
358,2026-01-04,घिरौला,के.जी.,100.0,110.0,105.0
359,2026-01-04,चमसूरको साग,के.जी.,60.0,80.0,70.0
360,2026-01-04,चुकुन्दर,के.जी.,70.0,80.0,75.0
361,2026-01-04,च्याउ(कन्य),के.जी.,90.0,120.0,105.0
362,2026-01-04,च्याउ(डल्ले),के जी,350.0,400.0,375.0
363,2026-01-04,छ्यापी सुकेको,के.जी.,180.0,200.0,190.0
364,2026-01-04,छ्यापी हरियो,के.जी.,150.0,180.0,165.0
365,2026-01-04,जिरीको साग,के.जी.,120.0,150.0,135.0
366,2026-01-04,जुनार,के.जी.,100.0,120.0,110.0
367,2026-01-04,टाटे सिमी,के.जी.,70.0,90.0,80.0
368,2026-01-04,तरबुजा(हरियो),के.जी.,90.0,100.0,95.0
369,2026-01-04,तरुल,के.जी.,60.0,70.0,65.0
370,2026-01-04,ताजा माछा(छडी),के जी,230.0,250.0,240.0
371,2026-01-04,ताजा माछा(बचुवा),के जी,260.0,280.0,270.0
372,2026-01-04,ताजा माछा(रहु),के जी,320.0,340.0,330.0
373,2026-01-04,तामा,के.जी.,110.0,120.0,115.0
